"Sr_No","Product_Name","Quantity","Unit","MRP","Purchase_Rate","Amount","Category","Cost_Price","Actual_Margin_Percent","Actual_Profit_Per_Unit","Total_Actual_Profit","SP_5_Percent","SP_10_Percent","SP_5_Margin_Percent","SP_10_Margin_Percent","Brand","Size","Supplier","Last_Updated","Status","Stock_Quantity","Barcode"
"175","OREO VANILLA BISCUIT 10/-","100","PCS","10.0","10.0","1000.0","Biscuits","10.0","0.0","0.0","0.0","10.0","10.0","0.0","0.0","","","","","","","7622202225512.0"
"176","PAMPERS L2 192PCS 30/-","192","PCS","30.0","30.0","4032.0","Baby Care","21.0","42.86","9.0","1728.0","29.55","29.1","40.71","38.57","","","","","","","4987176071347.0"
"177","PAMPERS M2 192PCS 25/-","192","PCS","25.0","25.0","3360.0","Baby Care","17.5","42.86","7.5","1440.0","24.62","24.25","40.69","38.57","","","","","","","4987176071385.0"
"178","PAMPERS XL2 36/-","192","PCS","36.0","36.0","4838.4","Baby Care","25.2","42.86","10.8","2073.6","35.46","34.92","40.71","38.57","","","","","","","4987176071361.0"
"179","PAMPERS S1 10/-","324","PCS","10.0","10.0","2268.0","Baby Care","7.0","42.86","3.0","972.0","9.85","9.7","40.71","38.57","","","","","","","4987176296658.0"
"180","PARACHUTE JASMINE 300ML","24","PCS","150.0","150.0","2808.0","Personal Care","117.0","28.21","33.0","792.0","148.35","146.7","26.79","25.38","","","","","","","8901088045681.0"
"181","PARACHUTE BOTTLE 500ML","8","PCS","270.0","270.0","1857.6","Personal Care","232.2","16.28","37.8","302.4","268.11","266.22","15.47","14.65","","","","","","","8901088000451.0"
"182","PARACHUTE JASMINE 200ML","24","PCS","97.0","97.0","2002.08","Personal Care","83.42","16.28","13.58","325.92","96.32","95.64","15.46","14.65","","","","","","","8901088045674.0"
"183","PARACHUTE JASMINE 100ML","36","PCS","48.0","48.0","1486.08","Personal Care","41.28","16.28","6.72","241.92","47.66","47.33","15.46","14.66","","","","","","","8901088076104.0"
"184","PARACHUTE JASMINE 400+100ML","12","PCS","235.0","235.0","2199.6","Personal Care","183.3","28.21","51.7","620.4","232.42","229.83","26.8","25.38","","","","","","","8901088155922.0"
"185","PARACHUTE JAR 200ML","90","PCS","115.0","115.0","8797.5","Personal Care","97.75","17.65","17.25","1552.5","114.14","113.28","16.77","15.89","","","","","","","8901088137034.0"
"186","PARACHUTE JAR 600ML","20","PCS","316.0","316.0","5435.2","Personal Care","271.76","16.28","44.24","884.8","313.79","311.58","15.47","14.65","","","","","","","8901088026277.0"
"187","PARLE BOURBON 10/-","98","PCS","10.0","10.0","980.0","Biscuits","10.0","0.0","0.0","0.0","10.0","10.0","0.0","0.0","","","","","","","8901719123429.0"
"188","PARLE HAPPY HAPPY 10/-","78","PCS","10.0","10.0","780.0","Biscuits","10.0","0.0","0.0","0.0","10.0","10.0","0.0","0.0","","","","","","","8901719130014.0"
