"Sr_No","Product_Name","Quantity","Unit","MRP","Purchase_Rate","Amount","Category","Cost_Price","Sell_Price","Actual_Margin_Percent","Actual_Profit_Per_Unit","Total_Actual_Profit","SP_5_Percent","SP_10_Percent","SP_5_Margin_Percent","SP_10_Margin_Percent","Brand","Size","Supplier","Last_Updated","Status","Stock_Quantity","Barcode","Barcode_Clean"
"119","HARPIC 1LI 235/-","16","PCS","235.0","213.64","3076.42","Home Care","192.28","210.0","22.22","42.72","683.52","232.86","230.73","21.1","20.0","","","","","","","8901400000000","8901400000000"
"120","HARPIC BIG 500ML 110/-","24","PCS","110.0","100.0","2160.0","Home Care","90.0","98.0","22.22","20.0","480.0","109.0","108.0","21.11","20.0","","","","","","","8901400000000","8901400000000"
"121","HARPIC RED 500ML 115/-","24","PCS","115.0","104.55","2283.37","Home Care","95.14","104.0","20.87","19.86","476.64","114.01","113.01","19.83","18.78","","","","","","","8901400000000","8901400000000"
"122","HARPIC RED 1LI 210/-","12","PCS","210.0","190.91","2061.83","Home Care","171.82","188.0","22.22","38.18","458.16","208.09","206.18","21.11","20.0","","","","","","","8901400000000","8901400000000"
"123","HARPIC SMALL 200ML 46/-","48","PCS","46.0","41.82","1806.62","Home Care","37.64","41.0","22.21","8.36","401.28","45.58","45.16","21.09","19.98","","","","","","","8901400000000","8901400000000"
"124","HIMALAYA F.W 100ML 179/-","6","PCS","179.0","179.0","751.8","Personal Care","125.3","147.0","42.86","53.7","322.2","176.32","173.63","40.72","38.57","","","","","","","8901140000000","8901140000000"
"125","HIMALAYA F W 50ML 90/-","48","PCS","90.0","90.0","3024.0","Personal Care","63.0","74.0","42.86","27.0","1296.0","88.65","87.3","40.71","38.57","","","","","","","8901140000000","8901140000000"
"126","HIMGANGE 100ML 85/-","15","PCS","85.0","85.0","1020.0","Personal Care","68.0","75.0","25.0","17.0","255.0","84.15","83.3","23.75","22.5","","","","","","","8908010000000","8908010000000"
"127","HIT BLACK SMALL 115/-","36","PCS","115.0","104.55","3613.25","Home Care","100.37","107.0","14.58","14.63","526.68","114.27","113.54","13.85","13.12","","","","","","","8901160000000","8901160000000"
"128","HIT BLACK BIG 180/-","18","PCS","180.0","163.64","2827.7","Home Care","157.09","167.0","14.58","22.91","412.38","178.85","177.71","13.85","13.13","","","","","","","8901160000000","8901160000000"
"129","HIT RED BIG 189/-","18","PCS","189.0","171.82","2969.05","Home Care","164.95","175.0","14.58","24.05","432.9","187.8","186.6","13.85","13.13","","","","","","","8901160000000","8901160000000"
"130","HIT RED SMALL 99/-","29","PCS","99.0","90.0","2592.0","Home Care","86.4","92.0","14.58","12.6","378.0","98.37","97.74","13.85","13.12","","","","","","","8901160000000","8901160000000"
"131","HORLICKS CHOCO JAR 500GM","12","PCS","259.0","239.81","2302.18","Health Drinks","191.85","219.0","35.0","67.15","805.8","255.64","252.28","33.25","31.5","","","","","","","8901030000000","8901030000000"
"132","HORLICKS CHOCO JAR 1KG","9","PCS","480.0","444.44","2719.97","Health Drinks","302.22","374.0","58.82","177.78","1600.02","471.11","462.22","55.88","52.94","","","","","","","8901030000000","8901030000000"
